id,prediction
2190,0.65
2191,0.65
2192,0.65
2193,0.6
2194,0.6
2195,0.65
2196,0.65
2197,0.63
2198,0.57
2199,0.65
2200,0.65
2201,0.6
2202,0.65
2203,0.65
2204,0.6
2205,0.6
2206,0.63
2207,0.65
2208,0.6
2209,0.6
2210,0.6
2211,0.6
2212,0.65
2213,0.65
2214,0.6
2215,0.6
2216,0.6
2217,0.65
2218,0.64
2219,0.6
2220,0.63
2221,0.65
2222,0.6
2223,0.65
2224,0.63
2225,0.63
2226,0.6
2227,0.65
2228,0.63
2229,0.65
2230,0.6
2231,0.63
2232,0.6
2233,0.65
2234,0.63
2235,0.6
2236,0.6
2237,0.63
2238,0.6
2239,0.65
2240,0.65
2241,0.65
2242,0.57
2243,0.65
2244,0.65
2245,0.64
2246,0.57
2247,0.65
2248,0.65
2249,0.65
2250,0.6
2251,0.65
2252,0.65
2253,0.65
2254,0.6
2255,0.6
2256,0.6
2257,0.64
2258,0.64
2259,0.6
2260,0.65
2261,0.65
2262,0.65
2263,0.63
2264,0.65
2265,0.63
2266,0.64
2267,0.65
2268,0.6
2269,0.57
2270,0.63
2271,0.63
2272,0.6
2273,0.6
2274,0.65
2275,0.65
2276,0.62
2277,0.6
2278,0.63
2279,0.63
2280,0.6
2281,0.63
2282,0.65
2283,0.6
2284,0.63
2285,0.64
2286,0.64
2287,0.6
2288,0.6
2289,0.6
2290,0.64
2291,0.6
2292,0.6
2293,0.64
2294,0.6
2295,0.6
2296,0.65
2297,0.6
2298,0.63
2299,0.64
2300,0.6
2301,0.6
2302,0.6
2303,0.64
2304,0.63
2305,0.6
2306,0.64
2307,0.6
2308,0.63
2309,0.6
2310,0.6
2311,0.6
2312,0.6
2313,0.6
2314,0.6
2315,0.6
2316,0.63
2317,0.64
2318,0.6
2319,0.6
2320,0.6
2321,0.63
2322,0.6
2323,0.63
2324,0.64
2325,0.6
2326,0.63
2327,0.63
2328,0.63
2329,0.63
2330,0.63
2331,0.6
2332,0.6
2333,0.57
2334,0.64
2335,0.63
2336,0.65
2337,0.6
2338,0.64
2339,0.6
2340,0.6
2341,0.6
2342,0.6
2343,0.6
2344,0.6
2345,0.6
2346,0.63
2347,0.6
2348,0.6
2349,0.6
2350,0.6
2351,0.6
2352,0.6
2353,0.6
2354,0.6
2355,0.6
2356,0.6
2357,0.6
2358,0.6
2359,0.6
2360,0.63
2361,0.6
2362,0.6
2363,0.6
2364,0.6
2365,0.63
2366,0.63
2367,0.64
2368,0.6
2369,0.6
2370,0.6
2371,0.6
2372,0.6
2373,0.63
2374,0.6
2375,0.6
2376,0.6
2377,0.6
2378,0.63
2379,0.6
2380,0.6
2381,0.6
2382,0.6
2383,0.6
2384,0.6
2385,0.6
2386,0.6
2387,0.6
2388,0.6
2389,0.6
2390,0.6
2391,0.6
2392,0.6
2393,0.6
2394,0.6
2395,0.6
2396,0.63
2397,0.6
2398,0.6
2399,0.6
2400,0.6
2401,0.6
2402,0.6
2403,0.6
2404,0.65
2405,0.63
2406,0.63
2407,0.6
2408,0.6
2409,0.63
2410,0.6
2411,0.62
2412,0.63
2413,0.6
2414,0.6
2415,0.6
2416,0.6
2417,0.63
2418,0.6
2419,0.6
2420,0.6
2421,0.6
2422,0.63
2423,0.64
2424,0.6
2425,0.6
2426,0.6
2427,0.6
2428,0.6
2429,0.6
2430,0.6
2431,0.63
2432,0.6
2433,0.6
2434,0.6
2435,0.6
2436,0.6
2437,0.6
2438,0.64
2439,0.6
2440,0.6
2441,0.6
2442,0.6
2443,0.6
2444,0.64
2445,0.6
2446,0.6
2447,0.63
2448,0.63
2449,0.6
2450,0.63
2451,0.65
2452,0.65
2453,0.6
2454,0.64
2455,0.6
2456,0.6
2457,0.6
2458,0.64
2459,0.6
2460,0.6
2461,0.63
2462,0.6
2463,0.64
2464,0.64
2465,0.63
2466,0.64
2467,0.6
2468,0.6
2469,0.6
2470,0.6
2471,0.6
2472,0.65
2473,0.6
2474,0.6
2475,0.6
2476,0.63
2477,0.6
2478,0.63
2479,0.6
2480,0.6
2481,0.6
2482,0.62
2483,0.63
2484,0.6
2485,0.64
2486,0.6
2487,0.63
2488,0.6
2489,0.6
2490,0.6
2491,0.6
2492,0.63
2493,0.6
2494,0.63
2495,0.62
2496,0.63
2497,0.6
2498,0.6
2499,0.6
2500,0.6
2501,0.65
2502,0.6
2503,0.65
2504,0.6
2505,0.6
2506,0.63
2507,0.65
2508,0.63
2509,0.6
2510,0.64
2511,0.65
2512,0.65
2513,0.65
2514,0.57
2515,0.65
2516,0.65
2517,0.65
2518,0.64
2519,0.65
2520,0.62
2521,0.6
2522,0.65
2523,0.6
2524,0.6
2525,0.65
2526,0.6
2527,0.65
2528,0.65
2529,0.65
2530,0.65
2531,0.65
2532,0.63
2533,0.65
2534,0.6
2535,0.6
2536,0.65
2537,0.65
2538,0.65
2539,0.63
2540,0.6
2541,0.63
2542,0.6
2543,0.64
2544,0.65
2545,0.65
2546,0.65
2547,0.65
2548,0.65
2549,0.65
2550,0.6
2551,0.6
2552,0.57
2553,0.65
2554,0.65
2555,0.65
2556,0.65
2557,0.6
2558,0.65
2559,0.65
2560,0.65
2561,0.65
2562,0.65
2563,0.65
